territory,year,population,type,capacity,score
Valle d'Aosta/Vallée d'Aoste,2021,adulti,rischio,conoscenza_sapere,0.646
Veneto,2021,adulti,rischio,conoscenza_sapere,0.152
Abruzzo,2021,adulti,rischio,cura,-0.226
Basilicata,2021,adulti,rischio,cura,0.191
Calabria,2021,adulti,rischio,cura,-0.554
Campania,2021,adulti,rischio,cura,-1.669
Emilia-Romagna,2021,adulti,rischio,cura,0.408
Friuli-Venezia Giulia,2021,adulti,rischio,cura,0.365
Lazio,2021,adulti,rischio,cura,-0.223
Liguria,2021,adulti,rischio,cura,0.354
Lombardia,2021,adulti,rischio,cura,0.533
Marche,2021,adulti,rischio,cura,-0.138
Molise,2021,adulti,rischio,cura,0.278
Piemonte,2021,adulti,rischio,cura,0.191
Puglia,2021,adulti,rischio,cura,-0.915
Sardegna,2021,adulti,rischio,cura,0.143
Sicilia,2021,adulti,rischio,cura,-1.068
Toscana,2021,adulti,rischio,cura,0.171
Trentino-Alto Adige/Südtirol,2021,adulti,rischio,cura,0.971
Umbria,2021,adulti,rischio,cura,0.34
Valle d'Aosta/Vallée d'Aoste,2021,adulti,rischio,cura,0.402
Veneto,2021,adulti,rischio,cura,0.445
Abruzzo,2021,adulti,rischio,lavorare,-0.063
Basilicata,2021,adulti,rischio,lavorare,-0.306
Calabria,2021,adulti,rischio,lavorare,-1.464
Campania,2021,adulti,rischio,lavorare,-1.726
Emilia-Romagna,2021,adulti,rischio,lavorare,1.012
Friuli-Venezia Giulia,2021,adulti,rischio,lavorare,0.791
Lazio,2021,adulti,rischio,lavorare,-0.203
Liguria,2021,adulti,rischio,lavorare,0.136
Lombardia,2021,adulti,rischio,lavorare,0.713
Marche,2021,adulti,rischio,lavorare,0.527
Molise,2021,adulti,rischio,lavorare,-0.826
Piemonte,2021,adulti,rischio,lavorare,0.416
Puglia,2021,adulti,rischio,lavorare,-0.744
Sardegna,2021,adulti,rischio,lavorare,-0.744
Sicilia,2021,adulti,rischio,lavorare,-1.938
Toscana,2021,adulti,rischio,lavorare,0.58
Trentino-Alto Adige/Südtirol,2021,adulti,rischio,lavorare,1.359
Umbria,2021,adulti,rischio,lavorare,0.378
Valle d'Aosta/Vallée d'Aoste,2021,adulti,rischio,lavorare,1.097
Veneto,2021,adulti,rischio,lavorare,1.006
Abruzzo,2021,adulti,rischio,vita_sana,-0.088
Basilicata,2021,adulti,rischio,vita_sana,0.066
Calabria,2021,adulti,rischio,vita_sana,-0.309
Campania,2021,adulti,rischio,vita_sana,0.053
Emilia-Romagna,2021,adulti,rischio,vita_sana,-0.144
Friuli-Venezia Giulia,2021,adulti,rischio,vita_sana,0.442
Lazio,2021,adulti,rischio,vita_sana,0.417
Liguria,2021,adulti,rischio,vita_sana,0.26
Lombardia,2021,adulti,rischio,vita_sana,0.498
Marche,2021,adulti,rischio,vita_sana,-0.594
Molise,2021,adulti,rischio,vita_sana,0.134
Piemonte,2021,adulti,rischio,vita_sana,-0.359
Puglia,2021,adulti,rischio,vita_sana,0.129
Sardegna,2021,adulti,rischio,vita_sana,-0.369
Sicilia,2021,adulti,rischio,vita_sana,0.204
Toscana,2021,adulti,rischio,vita_sana,-0.324
Trentino-Alto Adige/Südtirol,2021,adulti,rischio,vita_sana,1.073
Umbria,2021,adulti,rischio,vita_sana,-0.498
Valle d'Aosta/Vallée d'Aoste,2021,adulti,rischio,vita_sana,-1.057
Veneto,2021,adulti,rischio,vita_sana,0.467
Abruzzo,2021,adulti,rischio,vita_sicura,-0.223
Basilicata,2021,adulti,rischio,vita_sicura,-0.447
Calabria,2021,adulti,rischio,vita_sicura,-0.459
Campania,2021,adulti,rischio,vita_sicura,-1.22
Emilia-Romagna,2021,adulti,rischio,vita_sicura,0.283
Friuli-Venezia Giulia,2021,adulti,rischio,vita_sicura,0.608
Lazio,2021,adulti,rischio,vita_sicura,-0.431
Liguria,2021,adulti,rischio,vita_sicura,0.544
Lombardia,2021,adulti,rischio,vita_sicura,0.161
Marche,2021,adulti,rischio,vita_sicura,0.039
Molise,2021,adulti,rischio,vita_sicura,-0.556
Piemonte,2021,adulti,rischio,vita_sicura,0.494
Puglia,2021,adulti,rischio,vita_sicura,-0.603
Sardegna,2021,adulti,rischio,vita_sicura,0.291
Sicilia,2021,adulti,rischio,vita_sicura,-0.232
Toscana,2021,adulti,rischio,vita_sicura,0.113
Trentino-Alto Adige/Südtirol,2021,adulti,rischio,vita_sicura,1.166
Umbria,2021,adulti,rischio,vita_sicura,0.254
Valle d'Aosta/Vallée d'Aoste,2021,adulti,rischio,vita_sicura,0.08
Veneto,2021,adulti,rischio,vita_sicura,0.136
Abruzzo,2021,bambini,rischio,vita_sana,-0.645
Basilicata,2021,bambini,rischio,vita_sana,-1.013
Calabria,2021,bambini,rischio,vita_sana,0.191
Campania,2021,bambini,rischio,vita_sana,-0.569
Emilia-Romagna,2021,bambini,rischio,vita_sana,0.527
Friuli-Venezia Giulia,2021,bambini,rischio,vita_sana,0.593
Lazio,2021,bambini,rischio,vita_sana,0.624
Liguria,2021,bambini,rischio,vita_sana,0.138
Lombardia,2021,bambini,rischio,vita_sana,0.179
Marche,2021,bambini,rischio,vita_sana,0.628
Molise,2021,bambini,rischio,vita_sana,-0.7
Piemonte,2021,bambini,rischio,vita_sana,0.295
Puglia,2021,bambini,rischio,vita_sana,-1.055
Sardegna,2021,bambini,rischio,vita_sana,-0.733
Sicilia,2021,bambini,rischio,vita_sana,-0.854
Toscana,2021,bambini,rischio,vita_sana,0.608
Trentino-Alto Adige/Südtirol,2021,bambini,rischio,vita_sana,0.887
Umbria,2021,bambini,rischio,vita_sana,0.132
Valle d'Aosta/Vallée d'Aoste,2021,bambini,rischio,vita_sana,0.512
Veneto,2021,bambini,rischio,vita_sana,0.254
Abruzzo,2021,totale,rischio,totale,-0.251
Basilicata,2021,totale,rischio,totale,-0.204
Calabria,2021,totale,rischio,totale,-0.656
Campania,2021,totale,rischio,totale,-1.219
Emilia-Romagna,2021,totale,rischio,totale,0.492
Friuli-Venezia Giulia,2021,totale,rischio,totale,0.604
Lazio,2021,totale,rischio,totale,0.164
Liguria,2021,totale,rischio,totale,0.379
Lombardia,2021,totale,rischio,totale,0.441
Marche,2021,totale,rischio,totale,0.141
Molise,2021,totale,rischio,totale,-0.363
Piemonte,2021,totale,rischio,totale,0.195
Puglia,2021,totale,rischio,totale,-0.752
Sardegna,2021,totale,rischio,totale,-0.29
Sicilia,2021,totale,rischio,totale,-0.969
Toscana,2021,totale,rischio,totale,0.251
Trentino-Alto Adige/Südtirol,2021,totale,rischio,totale,1.028
Umbria,2021,totale,rischio,totale,0.259
Valle d'Aosta/Vallée d'Aoste,2021,totale,rischio,totale,0.308
Veneto,2021,totale,rischio,totale,0.442
Abruzzo,2021,adulti,servizi,accedere_risorse,-0.653
Basilicata,2021,adulti,servizi,accedere_risorse,-0.662
Calabria,2021,adulti,servizi,accedere_risorse,-0.669
Campania,2021,adulti,servizi,accedere_risorse,-0.685
Emilia-Romagna,2021,adulti,servizi,accedere_risorse,1.03
Friuli-Venezia Giulia,2021,adulti,servizi,accedere_risorse,1.507
Lazio,2021,adulti,servizi,accedere_risorse,-0.431
Liguria,2021,adulti,servizi,accedere_risorse,-0.39
Lombardia,2021,adulti,servizi,accedere_risorse,0.415
Marche,2021,adulti,servizi,accedere_risorse,-0.102
Molise,2021,adulti,servizi,accedere_risorse,-0.421
Piemonte,2021,adulti,servizi,accedere_risorse,0.281
Puglia,2021,adulti,servizi,accedere_risorse,-0.508
Sardegna,2021,adulti,servizi,accedere_risorse,-0.362
Sicilia,2021,adulti,servizi,accedere_risorse,-0.621
Toscana,2021,adulti,servizi,accedere_risorse,-0.177
Trentino-Alto Adige/Südtirol,2021,adulti,servizi,accedere_risorse,3.104
Umbria,2021,adulti,servizi,accedere_risorse,-0.29
Valle d'Aosta/Vallée d'Aoste,2021,adulti,servizi,accedere_risorse,-0.555
Veneto,2021,adulti,servizi,accedere_risorse,0.192
Abruzzo,2021,adulti,servizi,conoscenza_sapere,-0.047
Basilicata,2021,adulti,servizi,conoscenza_sapere,-0.358
Calabria,2021,adulti,servizi,conoscenza_sapere,-1.042
Campania,2021,adulti,servizi,conoscenza_sapere,-1.299
Emilia-Romagna,2021,adulti,servizi,conoscenza_sapere,0.244
Friuli-Venezia Giulia,2021,adulti,servizi,conoscenza_sapere,2.302
Lazio,2021,adulti,servizi,conoscenza_sapere,0.424
Liguria,2021,adulti,servizi,conoscenza_sapere,-0.183
Lombardia,2021,adulti,servizi,conoscenza_sapere,-0.495
Marche,2021,adulti,servizi,conoscenza_sapere,0.679
Molise,2021,adulti,servizi,conoscenza_sapere,0.01
Piemonte,2021,adulti,servizi,conoscenza_sapere,0.504
Puglia,2021,adulti,servizi,conoscenza_sapere,-1.006
Sardegna,2021,adulti,servizi,conoscenza_sapere,-0.502
Sicilia,2021,adulti,servizi,conoscenza_sapere,-1.797
Toscana,2021,adulti,servizi,conoscenza_sapere,0.568
Trentino-Alto Adige/Südtirol,2021,adulti,servizi,conoscenza_sapere,1.443
Umbria,2021,adulti,servizi,conoscenza_sapere,1.249
Valle d'Aosta/Vallée d'Aoste,2021,adulti,servizi,conoscenza_sapere,-1.312
Veneto,2021,adulti,servizi,conoscenza_sapere,0.618
Abruzzo,2021,adulti,servizi,cura,-0.231
Basilicata,2021,adulti,servizi,cura,0.033
Calabria,2021,adulti,servizi,cura,-0.782
Campania,2021,adulti,servizi,cura,-0.744
Emilia-Romagna,2021,adulti,servizi,cura,1.692
Friuli-Venezia Giulia,2021,adulti,servizi,cura,-0.427
Lazio,2021,adulti,servizi,cura,-0.133
Liguria,2021,adulti,servizi,cura,0.32
Lombardia,2021,adulti,servizi,cura,0.096
Marche,2021,adulti,servizi,cura,-0.475
Molise,2021,adulti,servizi,cura,-0.437
Piemonte,2021,adulti,servizi,cura,0.13
Puglia,2021,adulti,servizi,cura,-0.05
Sardegna,2021,adulti,servizi,cura,0.439
Sicilia,2021,adulti,servizi,cura,-0.319
Toscana,2021,adulti,servizi,cura,-0.013
Trentino-Alto Adige/Südtirol,2021,adulti,servizi,cura,-0.091
Umbria,2021,adulti,servizi,cura,0.301
Valle d'Aosta/Vallée d'Aoste,2021,adulti,servizi,cura,0.522
Veneto,2021,adulti,servizi,cura,0.446
Abruzzo,2021,adulti,servizi,lavorare,-0.701
Basilicata,2021,adulti,servizi,lavorare,-0.801
Calabria,2021,adulti,servizi,lavorare,-0.905
Campania,2021,adulti,servizi,lavorare,-0.881
Emilia-Romagna,2021,adulti,servizi,lavorare,1.195
Friuli-Venezia Giulia,2021,adulti,servizi,lavorare,0.35
Lazio,2021,adulti,servizi,lavorare,-0.675
Liguria,2021,adulti,servizi,lavorare,0.014
Lombardia,2021,adulti,servizi,lavorare,0.314
Marche,2021,adulti,servizi,lavorare,-0.728
Molise,2021,adulti,servizi,lavorare,-0.638
Piemonte,2021,adulti,servizi,lavorare,2.584
Puglia,2021,adulti,servizi,lavorare,-0.03
Sardegna,2021,adulti,servizi,lavorare,0.046
Sicilia,2021,adulti,servizi,lavorare,-0.544
Toscana,2021,adulti,servizi,lavorare,0.115
Trentino-Alto Adige/Südtirol,2021,adulti,servizi,lavorare,-0.384
Umbria,2021,adulti,servizi,lavorare,-0.712
Valle d'Aosta/Vallée d'Aoste,2021,adulti,servizi,lavorare,0.0
Veneto,2021,adulti,servizi,lavorare,2.382
Abruzzo,2021,adulti,servizi,vita_sana,-0.029
Basilicata,2021,adulti,servizi,vita_sana,-0.398
Calabria,2021,adulti,servizi,vita_sana,-0.877
Campania,2021,adulti,servizi,vita_sana,-1.19
Emilia-Romagna,2021,adulti,servizi,vita_sana,-0.004
Friuli-Venezia Giulia,2021,adulti,servizi,vita_sana,-0.263
Lazio,2021,adulti,servizi,vita_sana,-0.499
Liguria,2021,adulti,servizi,vita_sana,1.11
Lombardia,2021,adulti,servizi,vita_sana,-0.065
Marche,2021,adulti,servizi,vita_sana,0.753
Molise,2021,adulti,servizi,vita_sana,0.117
Piemonte,2021,adulti,servizi,vita_sana,0.389
Puglia,2021,adulti,servizi,vita_sana,-0.386
Sardegna,2021,adulti,servizi,vita_sana,-0.405
Sicilia,2021,adulti,servizi,vita_sana,-0.74
Toscana,2021,adulti,servizi,vita_sana,0.591
Trentino-Alto Adige/Südtirol,2021,adulti,servizi,vita_sana,0.007
Umbria,2021,adulti,servizi,vita_sana,0.564
Valle d'Aosta/Vallée d'Aoste,2021,adulti,servizi,vita_sana,0.831
Veneto,2021,adulti,servizi,vita_sana,0.494
Abruzzo,2021,adulti,servizi,vita_sicura,-0.072
Basilicata,2021,adulti,servizi,vita_sicura,-0.862
Calabria,2021,adulti,servizi,vita_sicura,-0.612
Campania,2021,adulti,servizi,vita_sicura,-0.689
Emilia-Romagna,2021,adulti,servizi,vita_sicura,0.987
Friuli-Venezia Giulia,2021,adulti,servizi,vita_sicura,0.889
Lazio,2021,adulti,servizi,vita_sicura,-1.065
Liguria,2021,adulti,servizi,vita_sicura,0.162
Lombardia,2021,adulti,servizi,vita_sicura,-0.064
Marche,2021,adulti,servizi,vita_sicura,0.569
Molise,2021,adulti,servizi,vita_sicura,0.085
Piemonte,2021,adulti,servizi,vita_sicura,-0.68
Puglia,2021,adulti,servizi,vita_sicura,-0.173
Sardegna,2021,adulti,servizi,vita_sicura,0.509
Sicilia,2021,adulti,servizi,vita_sicura,-0.782
Toscana,2021,adulti,servizi,vita_sicura,0.014
Trentino-Alto Adige/Südtirol,2021,adulti,servizi,vita_sicura,-0.196
Umbria,2021,adulti,servizi,vita_sicura,1.206
Valle d'Aosta/Vallée d'Aoste,2021,adulti,servizi,vita_sicura,0.637
Veneto,2021,adulti,servizi,vita_sicura,0.138
Abruzzo,2021,bambini,servizi,cura,-0.379
Basilicata,2021,bambini,servizi,cura,0.069
Calabria,2021,bambini,servizi,cura,-0.589
Campania,2021,bambini,servizi,cura,-0.757
Emilia-Romagna,2021,bambini,servizi,cura,0.796
Friuli-Venezia Giulia,2021,bambini,servizi,cura,-0.034
Lazio,2021,bambini,servizi,cura,-0.834
Liguria,2021,bambini,servizi,cura,0.987
Lombardia,2021,bambini,servizi,cura,-0.41
Marche,2021,bambini,servizi,cura,-0.153
Molise,2021,bambini,servizi,cura,0.158
Piemonte,2021,bambini,servizi,cura,0.629
Puglia,2021,bambini,servizi,cura,-0.336
Sardegna,2021,bambini,servizi,cura,0.253
Sicilia,2021,bambini,servizi,cura,-0.199
Toscana,2021,bambini,servizi,cura,0.252
Trentino-Alto Adige/Südtirol,2021,bambini,servizi,cura,-0.128
Umbria,2021,bambini,servizi,cura,0.51
Valle d'Aosta/Vallée d'Aoste,2021,bambini,servizi,cura,0.416
Veneto,2021,bambini,servizi,cura,0.206
Abruzzo,2021,bambini,servizi,vita_sana,0.155
Basilicata,2021,bambini,servizi,vita_sana,-0.379
Calabria,2021,bambini,servizi,vita_sana,-0.204
Campania,2021,bambini,servizi,vita_sana,-0.723
Emilia-Romagna,2021,bambini,servizi,vita_sana,0.661
Friuli-Venezia Giulia,2021,bambini,servizi,vita_sana,-1.001
Lazio,2021,bambini,servizi,vita_sana,0.049
Liguria,2021,bambini,servizi,vita_sana,0.148
Lombardia,2021,bambini,servizi,vita_sana,-0.923
Marche,2021,bambini,servizi,vita_sana,-0.23
Molise,2021,bambini,servizi,vita_sana,-0.266
Piemonte,2021,bambini,servizi,vita_sana,-1.049
Puglia,2021,bambini,servizi,vita_sana,0.422
Sardegna,2021,bambini,servizi,vita_sana,1.354
Sicilia,2021,bambini,servizi,vita_sana,0.203
Toscana,2021,bambini,servizi,vita_sana,1.029
Trentino-Alto Adige/Südtirol,2021,bambini,servizi,vita_sana,-0.548
Umbria,2021,bambini,servizi,vita_sana,0.471
Valle d'Aosta/Vallée d'Aoste,2021,bambini,servizi,vita_sana,1.335
Veneto,2021,bambini,servizi,vita_sana,-0.505
Abruzzo,2021,totale,servizi,totale,-0.245
Basilicata,2021,totale,servizi,totale,-0.42
Calabria,2021,totale,servizi,totale,-0.71
Campania,2021,totale,servizi,totale,-0.871
Emilia-Romagna,2021,totale,servizi,totale,0.825
Friuli-Venezia Giulia,2021,totale,servizi,totale,0.415
Lazio,2021,totale,servizi,totale,-0.396
Liguria,2021,totale,servizi,totale,0.271
Lombardia,2021,totale,servizi,totale,-0.142
Marche,2021,totale,servizi,totale,0.039
Molise,2021,totale,servizi,totale,-0.174
Piemonte,2021,totale,servizi,totale,0.349
Puglia,2021,totale,servizi,totale,-0.258
Sardegna,2021,totale,servizi,totale,0.166
Sicilia,2021,totale,servizi,totale,-0.6
Toscana,2021,totale,servizi,totale,0.297
Trentino-Alto Adige/Südtirol,2021,totale,servizi,totale,0.401
Umbria,2021,totale,servizi,totale,0.412
Valle d'Aosta/Vallée d'Aoste,2021,totale,servizi,totale,0.234
Veneto,2021,totale,servizi,totale,0.496
Abruzzo,2021,totale,totale,totale,-0.261
Basilicata,2021,totale,totale,totale,-0.335
Calabria,2021,totale,totale,totale,-0.752
Campania,2021,totale,totale,totale,-1.103
Emilia-Romagna,2021,totale,totale,totale,0.713
Friuli-Venezia Giulia,2021,totale,totale,totale,0.641
Lazio,2021,totale,totale,totale,-0.159
Liguria,2021,totale,totale,totale,0.286
Lombardia,2021,totale,totale,totale,0.17
Marche,2021,totale,totale,totale,0.106
Molise,2021,totale,totale,totale,-0.298
Piemonte,2021,totale,totale,totale,0.35
Puglia,2021,totale,totale,totale,-0.537
Sardegna,2021,totale,totale,totale,-0.075
Sicilia,2021,totale,totale,totale,-0.872
Toscana,2021,totale,totale,totale,0.254
Trentino-Alto Adige/Südtirol,2021,totale,totale,totale,0.787
Umbria,2021,totale,totale,totale,0.366
Valle d'Aosta/Vallée d'Aoste,2021,totale,totale,totale,0.231
Veneto,2021,totale,totale,totale,0.528
Abruzzo,2022,adulti,rischio,accedere_risorse,-0.859
Basilicata,2022,adulti,rischio,accedere_risorse,-0.034
Calabria,2022,adulti,rischio,accedere_risorse,-0.057
Campania,2022,adulti,rischio,accedere_risorse,-1.821
Emilia-Romagna,2022,adulti,rischio,accedere_risorse,0.451
Friuli-Venezia Giulia,2022,adulti,rischio,accedere_risorse,0.681
Lazio,2022,adulti,rischio,accedere_risorse,-0.006
Liguria,2022,adulti,rischio,accedere_risorse,0.354
Lombardia,2022,adulti,rischio,accedere_risorse,0.202
Marche,2022,adulti,rischio,accedere_risorse,0.155
Molise,2022,adulti,rischio,accedere_risorse,-0.684
Piemonte,2022,adulti,rischio,accedere_risorse,0.353
Puglia,2022,adulti,rischio,accedere_risorse,-0.413
Sardegna,2022,adulti,rischio,accedere_risorse,0.108
Sicilia,2022,adulti,rischio,accedere_risorse,-1.177
Toscana,2022,adulti,rischio,accedere_risorse,0.523
Trentino-Alto Adige/Südtirol,2022,adulti,rischio,accedere_risorse,0.55
Umbria,2022,adulti,rischio,accedere_risorse,0.519
Valle d'Aosta/Vallée d'Aoste,2022,adulti,rischio,accedere_risorse,0.443
Veneto,2022,adulti,rischio,accedere_risorse,0.713
Abruzzo,2022,adulti,rischio,conoscenza_sapere,0.538
Basilicata,2022,adulti,rischio,conoscenza_sapere,-0.471
Calabria,2022,adulti,rischio,conoscenza_sapere,-1.603
Campania,2022,adulti,rischio,conoscenza_sapere,-1.536
Emilia-Romagna,2022,adulti,rischio,conoscenza_sapere,0.858
Friuli-Venezia Giulia,2022,adulti,rischio,conoscenza_sapere,1.012
Lazio,2022,adulti,rischio,conoscenza_sapere,1.255
Liguria,2022,adulti,rischio,conoscenza_sapere,0.684
Lombardia,2022,adulti,rischio,conoscenza_sapere,0.682
Marche,2022,adulti,rischio,conoscenza_sapere,0.711
Molise,2022,adulti,rischio,conoscenza_sapere,-0.255
Piemonte,2022,adulti,rischio,conoscenza_sapere,0.043
Puglia,2022,adulti,rischio,conoscenza_sapere,-1.633
Sardegna,2022,adulti,rischio,conoscenza_sapere,-0.545
Sicilia,2022,adulti,rischio,conoscenza_sapere,-1.734
Toscana,2022,adulti,rischio,conoscenza_sapere,0.321
Trentino-Alto Adige/Südtirol,2022,adulti,rischio,conoscenza_sapere,0.947
Umbria,2022,adulti,rischio,conoscenza_sapere,0.794
Valle d'Aosta/Vallée d'Aoste,2022,adulti,rischio,conoscenza_sapere,0.558
Veneto,2022,adulti,rischio,conoscenza_sapere,0.353
Abruzzo,2022,adulti,rischio,cura,-0.313
Basilicata,2022,adulti,rischio,cura,0.292
Calabria,2022,adulti,rischio,cura,-0.268
Campania,2022,adulti,rischio,cura,-1.675
Emilia-Romagna,2022,adulti,rischio,cura,0.39
Friuli-Venezia Giulia,2022,adulti,rischio,cura,0.53
Lazio,2022,adulti,rischio,cura,-0.198
Liguria,2022,adulti,rischio,cura,0.489
Lombardia,2022,adulti,rischio,cura,0.561
Marche,2022,adulti,rischio,cura,0.039
Molise,2022,adulti,rischio,cura,-0.02
Piemonte,2022,adulti,rischio,cura,0.154
Puglia,2022,adulti,rischio,cura,-0.895
Sardegna,2022,adulti,rischio,cura,-0.027
Sicilia,2022,adulti,rischio,cura,-1.277
Toscana,2022,adulti,rischio,cura,0.255
Trentino-Alto Adige/Südtirol,2022,adulti,rischio,cura,0.918
Umbria,2022,adulti,rischio,cura,0.148
Valle d'Aosta/Vallée d'Aoste,2022,adulti,rischio,cura,0.307
Veneto,2022,adulti,rischio,cura,0.591
Abruzzo,2022,adulti,rischio,lavorare,-0.049
Basilicata,2022,adulti,rischio,lavorare,-0.217
Calabria,2022,adulti,rischio,lavorare,-1.581
Campania,2022,adulti,rischio,lavorare,-1.658
Emilia-Romagna,2022,adulti,rischio,lavorare,0.867
Friuli-Venezia Giulia,2022,adulti,rischio,lavorare,0.678
Lazio,2022,adulti,rischio,lavorare,-0.212
Liguria,2022,adulti,rischio,lavorare,0.328
Lombardia,2022,adulti,rischio,lavorare,0.762
Marche,2022,adulti,rischio,lavorare,0.536
Molise,2022,adulti,rischio,lavorare,-0.607
Piemonte,2022,adulti,rischio,lavorare,0.298
Puglia,2022,adulti,rischio,lavorare,-0.83
Sardegna,2022,adulti,rischio,lavorare,-0.829
Sicilia,2022,adulti,rischio,lavorare,-1.963
Toscana,2022,adulti,rischio,lavorare,0.525
Trentino-Alto Adige/Südtirol,2022,adulti,rischio,lavorare,1.31
Umbria,2022,adulti,rischio,lavorare,0.446
Valle d'Aosta/Vallée d'Aoste,2022,adulti,rischio,lavorare,1.11
Veneto,2022,adulti,rischio,lavorare,1.086
Abruzzo,2022,adulti,rischio,vita_sana,-0.017
Basilicata,2022,adulti,rischio,vita_sana,-0.046
Calabria,2022,adulti,rischio,vita_sana,-0.164
Campania,2022,adulti,rischio,vita_sana,-0.194
Emilia-Romagna,2022,adulti,rischio,vita_sana,-0.04
Friuli-Venezia Giulia,2022,adulti,rischio,vita_sana,0.487
Lazio,2022,adulti,rischio,vita_sana,0.457
Liguria,2022,adulti,rischio,vita_sana,0.292
Lombardia,2022,adulti,rischio,vita_sana,0.161
Marche,2022,adulti,rischio,vita_sana,-0.656
Molise,2022,adulti,rischio,vita_sana,0.039
Piemonte,2022,adulti,rischio,vita_sana,-0.523
Puglia,2022,adulti,rischio,vita_sana,0.1
Sardegna,2022,adulti,rischio,vita_sana,-0.339
Sicilia,2022,adulti,rischio,vita_sana,0.333
Toscana,2022,adulti,rischio,vita_sana,-0.246
Trentino-Alto Adige/Südtirol,2022,adulti,rischio,vita_sana,0.913
Umbria,2022,adulti,rischio,vita_sana,-0.424
Valle d'Aosta/Vallée d'Aoste,2022,adulti,rischio,vita_sana,-0.674
Veneto,2022,adulti,rischio,vita_sana,0.54
Abruzzo,2022,adulti,rischio,vita_sicura,-0.132
Basilicata,2022,adulti,rischio,vita_sicura,-0.271
Calabria,2022,adulti,rischio,vita_sicura,-0.402
Campania,2022,adulti,rischio,vita_sicura,-1.169
Emilia-Romagna,2022,adulti,rischio,vita_sicura,0.264
Friuli-Venezia Giulia,2022,adulti,rischio,vita_sicura,0.792
Lazio,2022,adulti,rischio,vita_sicura,-0.66
Liguria,2022,adulti,rischio,vita_sicura,0.474
Lombardia,2022,adulti,rischio,vita_sicura,0.292
Marche,2022,adulti,rischio,vita_sicura,-0.117
Molise,2022,adulti,rischio,vita_sicura,-0.642
Piemonte,2022,adulti,rischio,vita_sicura,0.472
Puglia,2022,adulti,rischio,vita_sicura,-0.714
Sardegna,2022,adulti,rischio,vita_sicura,0.151
Sicilia,2022,adulti,rischio,vita_sicura,-0.578
Toscana,2022,adulti,rischio,vita_sicura,0.175
Trentino-Alto Adige/Südtirol,2022,adulti,rischio,vita_sicura,1.397
Umbria,2022,adulti,rischio,vita_sicura,-0.162
Valle d'Aosta/Vallée d'Aoste,2022,adulti,rischio,vita_sicura,0.495
Veneto,2022,adulti,rischio,vita_sicura,0.336
Abruzzo,2022,bambini,rischio,vita_sana,-0.525
Basilicata,2022,bambini,rischio,vita_sana,-0.669
Calabria,2022,bambini,rischio,vita_sana,-0.139
Campania,2022,bambini,rischio,vita_sana,-0.563
Emilia-Romagna,2022,bambini,rischio,vita_sana,0.391
Friuli-Venezia Giulia,2022,bambini,rischio,vita_sana,0.595
Lazio,2022,bambini,rischio,vita_sana,0.634
Liguria,2022,bambini,rischio,vita_sana,0.067
Lombardia,2022,bambini,rischio,vita_sana,0.202
Marche,2022,bambini,rischio,vita_sana,0.532
Molise,2022,bambini,rischio,vita_sana,-0.472
Piemonte,2022,bambini,rischio,vita_sana,0.151
Puglia,2022,bambini,rischio,vita_sana,-1.005
Sardegna,2022,bambini,rischio,vita_sana,-0.848
Sicilia,2022,bambini,rischio,vita_sana,-0.963
Toscana,2022,bambini,rischio,vita_sana,0.607
Trentino-Alto Adige/Südtirol,2022,bambini,rischio,vita_sana,0.663
Umbria,2022,bambini,rischio,vita_sana,-0.002
Valle d'Aosta/Vallée d'Aoste,2022,bambini,rischio,vita_sana,0.931
Veneto,2022,bambini,rischio,vita_sana,0.411
Abruzzo,2022,totale,rischio,totale,-0.194
Basilicata,2022,totale,rischio,totale,-0.202
Calabria,2022,totale,rischio,totale,-0.602
Campania,2022,totale,rischio,totale,-1.231
Emilia-Romagna,2022,totale,rischio,totale,0.454
Friuli-Venezia Giulia,2022,totale,rischio,totale,0.682
Lazio,2022,totale,rischio,totale,0.181
Liguria,2022,totale,rischio,totale,0.384
Lombardia,2022,totale,rischio,totale,0.409
Marche,2022,totale,rischio,totale,0.171
Molise,2022,totale,rischio,totale,-0.377
Piemonte,2022,totale,rischio,totale,0.135
Puglia,2022,totale,rischio,totale,-0.77
Sardegna,2022,totale,rischio,totale,-0.333
Sicilia,2022,totale,rischio,totale,-1.051
Toscana,2022,totale,rischio,totale,0.309
Trentino-Alto Adige/Südtirol,2022,totale,rischio,totale,0.957
Umbria,2022,totale,rischio,totale,0.188
Valle d'Aosta/Vallée d'Aoste,2022,totale,rischio,totale,0.453
Veneto,2022,totale,rischio,totale,0.576
Abruzzo,2022,adulti,servizi,accedere_risorse,-0.653
Basilicata,2022,adulti,servizi,accedere_risorse,-0.662
Calabria,2022,adulti,servizi,accedere_risorse,-0.669
Campania,2022,adulti,servizi,accedere_risorse,-0.685
Emilia-Romagna,2022,adulti,servizi,accedere_risorse,1.03
Friuli-Venezia Giulia,2022,adulti,servizi,accedere_risorse,1.507
Lazio,2022,adulti,servizi,accedere_risorse,-0.431
Liguria,2022,adulti,servizi,accedere_risorse,-0.39
Lombardia,2022,adulti,servizi,accedere_risorse,0.415
Marche,2022,adulti,servizi,accedere_risorse,-0.102
Molise,2022,adulti,servizi,accedere_risorse,-0.421
Piemonte,2022,adulti,servizi,accedere_risorse,0.281
Puglia,2022,adulti,servizi,accedere_risorse,-0.508
